#species_taxid	min_ungapped_length	max_ungapped_length	expected_ungapped_length	number_of_genomes
326522	1827000	2741000	2283939	5
327160	2242000	6283000	4262643	13
328812	3379000	10138000	6758370	21
328813	2827000	4241000	3534089	270
328814	2291000	4428000	3359819	5
329852	2827	4240	3534	13
329853	2766	4149	3458	5
329854	4822000	7235000	6028669	22
332186	3862000	5794000	4827717	11
332411	3646000	5470000	4557930	4
333754	6315	9472	7894	6
333757	6376	9564	7970	4
333767	6442	9663	8053	12
333924	5917	8876	7397	25
333926	5842	8763	7303	6
333962	3402000	5104000	4253305	4
334207	6034	9051	7543	4
334542	5423000	8136000	6779439	12
334735	1510000	4532000	3021023	4
336810	135000	407000	270927	30
336988	1470000	2206000	1838036	5
337039	6307	9460	7884	10
337041	6323	9484	7904	7
337042	6280	9420	7850	8
337044	6264	9397	7831	4
337050	6278	9417	7848	4
337051	6128	9192	7660	24
337052	6362	9543	7953	6
337243	1784000	5353000	3568392	10
338188	2502000	7507000	5004587	17
339268	4501000	6753000	5626671	20
342002	3442000	5442000	4442000	4
342113	5708000	8563000	7135004	8
342409	236000	355000	295072	14
343874	2451000	4424000	3437627	4
349221	1783000	2854000	2318442	5
351187	4083000	6678000	5380631	40
356829	1728000	2594000	2161057	4
357233	3384000	5077000	4230493	4
357240	2307000	6923000	4614955	6
357276	3747000	7143000	5444912	58
357441	2215000	3324000	2769911	5
358743	5180000	7772000	6476047	5
359110	5280000	7922000	6601213	6
359408	1382000	3776000	2579046	4
360293	2203000	5337000	3770083	8
360807	2054000	5450000	3751806	13
361101	1689000	2534000	2111372	5
361277	2366000	4883000	3624528	11
361575	3563000	5346000	4454891	4
363265	1552000	4658000	3105158	4
363952	4295000	6443000	5369106	19
364410	2172000	3259000	2715780	10
365349	4026000	6041000	5033611	6
367190	3883000	5825000	4853786	7
368603	3346000	5020000	4182580	4
371601	5083000	7626000	6354660	93
372787	3849000	6833000	5341107	35
375175	2226000	3340000	2782906	9
376620	2018000	4302000	3159912	6
376820	27000	42000	34600	5
379097	3652000	5479000	4565090	5
379347	3830000	5746000	4788142	49
379893	3693000	5541000	4617167	7
380021	5550000	8326000	6938184	48
386414	2493000	3740000	3116396	7
386891	1771000	2658000	2214184	8
387090	1926000	5779000	3852661	7
387661	3706000	5560000	4632977	6
390842	2370000	3556000	2963097	5
391228	2276	3414	2845	4
392416	1775000	2664000	2219370	4
393921	1685000	2529000	2106861	6
394340	2286000	3430000	2857603	4
394935	4100000	6151000	5125220	7
396323	2479000	3719000	3099050	6
398743	2002000	6007000	4004227	7
400121	1628	2442	2035	5
400946	1700000	2551000	2125251	12
401562	4073000	6111000	5092239	4
401619	311000	853000	582001	4
404941	3958000	5939000	4948648	10
408139	3533000	5301000	4416922	7
409322	2420000	3783000	3101343	7
409998	3379000	5069000	4224127	7
410072	2669000	4005000	3337373	11
412384	3471000	7084000	5277323	16
413497	3635000	5454000	4544955	36
413501	3484000	5227000	4355403	4
413502	3285000	5831000	4557787	12
413503	3576000	5365000	4470589	45
415593	30973000	46460000	38716499	4
416943	5645000	8468000	7056273	9
417368	2168000	3253000	2710056	4
418240	1654000	4963000	3308007	21
419005	1905000	2859000	2382022	5
419015	1432000	2150000	1790970	10
419257	3921000	5883000	4901876	10
419475	3981000	5973000	4976978	6
420645	1630000	2595000	2112502	4
421010	7728	11000	9660	1
431041	745000	2238000	1491458	9
431269	5013000	7520000	6266506	4
435897	5016000	7525000	6270270	4
435910	2766000	6754000	4759863	6
436515	5417000	8127000	6771730	6
437897	1896000	2845000	2370229	6
438356	15501000	46504000	31002227	5
438744	2782000	4174000	3478129	5
442694	4156000	6236000	5196060	142
446660	2264000	3397000	2830301	4
446692	3159000	4740000	3949347	4
447106	3361000	5042000	4201335	5
449659	1866000	2800000	2333322	4
450367	4055000	6855000	5455033	5
451644	5162000	7744000	6452502	13
453050	8584	12000	10731	1
454155	2393000	5186000	3789431	4
454171	2729000	4095000	3412032	4
454602	2879000	4326000	3602142	4
456327	4257000	6386000	5321319	65
456999	21543000	64630000	43086021	10
458197	4152000	6230000	5190873	6
458836	5486000	16459000	10972510	5
459472	3135000	4704000	3919558	4
459526	3455000	7300000	5377387	7
460519	7493000	11240000	9366601	6
463360	2064	3097	2581	5
463676	5670	8505	7088	26
467085	913000	2742000	1827907	4
470934	2419000	7259000	4839154	19
471189	2680000	4118000	3399341	4
472695	2050000	6153000	4101892	10
474922	44375000	68620000	56497585	6
477666	1506000	4521000	3013387	6
479117	1892000	2839000	2365554	5
481446	3241000	4863000	4052377	4
482957	5864000	11167000	8515558	4
487174	2340000	3915000	3127060	4
487175	2106000	3735000	2920116	18
487316	1735000	5207000	3470982	32
487514	4207000	6451000	5329312	4
487698	3529000	5295000	4411948	4
488447	6489000	10529000	8509249	21
488731	6119000	9179000	7648944	5
488732	5474000	8212000	6842718	13
489632	4260000	6392000	5325887	4
491921	1863000	2796000	2329946	5
492670	3183000	4776000	3979382	219
497725	4271000	6408000	5339663	4
498019	9831000	14748000	12289510	16
501571	2631000	3947000	3289066	6
502049	3345000	5979000	4662095	7
504487	3031000	4548000	3789393	4
505249	2293000	3441000	2866788	5
508451	1565000	2475000	2020057	28
511998	3382000	5074000	4228214	11
512402	3807000	5712000	4759244	6
512643	3549000	5325000	4436723	9
513050	1484000	2226000	1855560	2
513223	3449000	6061000	4755025	9
523103	18529000	27795000	23161702	4
528191	5361000	8042000	6701511	13
535744	3549000	5325000	4436888	4
536079	27000	42000	34462	6
538381	4008000	6013000	5010549	4
539813	3952000	5930000	4941076	10
540070	86000	130000	107772	17
540747	4864000	7298000	6081236	4
542832	12583000	37750000	25166617	5
544580	2486000	3731000	3108478	22
544581	2681000	4023000	3352368	4
544645	2485000	6768000	4626591	10
544718	1537000	2307000	1922182	8
546367	3787000	5681000	4733947	22
547163	5597000	8396000	6996556	4
553239	3304000	4957000	4130471	57
553611	3700000	5551000	4625642	17
553814	3233000	5456000	4344128	4
556287	1001000	1503000	1251701	8
560555	4633000	6951000	5792343	5
561184	4363000	6545000	5453782	7
561879	2984000	4477000	3730825	42
568098	3712000	5570000	4641163	4
570156	2884000	6006000	4444890	8
571256	4255000	6383000	5318903	4
573658	465000	1398000	931952	22
574096	3949000	5925000	4937271	6
574560	4220000	6641000	5430356	5
574930	5209000	7814000	6511279	4
576610	1051000	2356000	1703354	9
576611	1777000	2666000	2221607	9
580165	3442000	5165000	4303547	14
582702	3371000	5058000	4214574	4
586733	1901000	2853000	2376731	10
587753	5498000	8248000	6873200	77
588596	61632000	184873000	123252772	15
588932	2398000	3598000	2997731	13
589873	1995000	5673000	3833753	25
591154	1908000	2864000	2386062	6
592978	2569000	3855000	3212324	8
604330	1591000	2839000	2214841	5
624146	465000	1398000	931602	7
626929	3158000	5043000	4100901	8
626931	4974000	8554000	6764051	4
626932	2313000	3471000	2892379	4
626935	1252000	3758000	2504914	4
626937	2352000	3529000	2940111	5
626938	1152000	3457000	2304990	5
626940	1142000	3428000	2284924	8
633417	3740000	5738000	4738991	5
648995	3968000	7280000	5624110	10
649756	1385000	4158000	2771521	23
651561	4228000	6344000	5285841	5
651740	5203000	7805000	6503996	4
656366	2229000	6688000	4458287	5
657445	1489000	2235000	1862294	24
659243	3169000	4754000	3961663	7
663557	41000	62000	51370	12
664683	4215000	6323000	5268948	4
665099	4297000	7143000	5719901	7
666685	2885000	5316000	4100514	4
669041	2192000	3289000	2740732	4
674529	4916000	7376000	6145961	14
690256	45182000	67774000	56477627	4
693066	5980	8971	7476	5
693997	22000	35000	28348	4
694005	15000	47000	31292	4
694009	23000	35000	29751	1
696485	4758000	7138000	5948326	16
701042	4296000	6446000	5371244	4
702114	4031000	6165000	5097948	6
703342	3324000	4988000	4156096	4
706570	3002000	4504000	3753152	4
708197	42369000	63555000	52962341	5
709876	5764000	8647000	7205615	7
714549	832000	2499000	1665901	6
722472	4519000	11782000	8150868	5
746128	23027000	34542000	28784539	14
749589	27021000	40533000	33776794	5
754476	1056000	3169000	2112296	4
756892	2012000	3950000	2980790	35
759620	1098000	1648000	1372683	4
762209	2293000	3441000	2867214	5
766224	4774000	7162000	5967552	17
767916	4628000	6943000	5785521	4
796937	2037000	3057000	2547409	4
857276	7210000	10816000	9013058	5
859650	2376	3564	2970	4
861561	7926	11000	9908	1
863227	5386000	8080000	6732995	4
863372	4587000	6882000	5734847	4
871324	4933000	7400000	6166448	4
875171	3508000	5263000	4385182	4
875328	3722000	5584000	4653027	6
881260	3805000	5709000	4757330	45
906888	2573000	3861000	3216957	7
911092	1195000	3588000	2391417	7
929813	4401000	6602000	5501389	5
930118	2848000	4308000	3577681	4
930166	5386000	8081000	6733367	23
930965	2068	3103	2586	4
931244	6427	9640	8034	4
931866	6937000	10407000	8671714	4
936053	26292000	51471000	38881710	5
942866	4871000	7307000	6089101	4
944994	2196	3294	2745	4
948102	4018000	6029000	5023635	11
948311	23018000	63566000	43291870	13
984307	5470000	8207000	6838401	5
984962	13553000	39186000	26369549	4
985002	2233000	3351000	2792374	125
985762	1954000	2932000	2442843	26
1031542	1222000	1835000	1528520	8
1033846	1430000	4292000	2861114	13
1034125	61000	92000	76572	4
1034346	2700000	4450000	3575363	6
1035120	631000	1894000	1262211	4
1038928	6186000	9280000	7733281	4
1047171	27833000	47195000	37514124	18
1049583	2304000	3457000	2880079	7
1050843	2098000	3148000	2623290	5
1051616	26870000	40306000	33588154	5
1069827	2261000	3397000	2829323	6
1072176	9520	15000	11900	5
1076926	5777000	8667000	7222371	5
1078480	1664000	2497000	2080113	5
1089444	3923000	5886000	4904518	19
1099853	1705000	5118000	3411820	5
1108595	3970000	5956000	4963300	4
1109412	4284000	6427000	5355394	4
1110546	1700000	2551000	2125170	4
1117645	3218000	4828000	4023312	67
1118061	1398000	4195000	2796593	4
1124835	4245000	6369000	5306809	4
1134687	4953000	7431000	6191680	101
1137281	2304000	3875000	3089766	4
1137606	3351000	5027000	4188917	6
1148157	3315000	4974000	4144305	24
1148509	4810000	7216000	6012534	6
1150298	1456000	4370000	2913195	23
1155739	6494000	11254000	8874115	4
1158459	3904000	5857000	4880474	4
1160721	1247000	3742000	2494022	5
1164990	1562000	4687000	3124092	4
1172565	2974000	4462000	3718244	25
1173715	26117000	39176000	32646474	6
1173716	26285000	39429000	32856836	5
1175848	5810	8715	7263	5
1175849	5871	8806	7339	14
1175850	5790	8685	7238	10
1175851	3618	11000	7237	8
1175852	5889	8834	7362	6
1176145	6008	9012	7510	5
1176148	6384	9577	7981	4
1176150	6281	9422	7852	5
1176649	4243000	6863000	5553114	9
1177758	6262	9393	7828	7
1183412	3626000	7384000	5504803	4
1183413	3637000	6731000	5183860	4
1184720	5697000	8547000	7122173	7
1194757	1650	2475	2063	80
1196083	1407000	3499000	2453208	59
1196095	1567000	4148000	2857512	75
1207504	6176000	9417000	7796508	9
1211807	3459000	5190000	4324726	18
1221500	3275000	4914000	4094761	4
1232428	1505000	2981000	2242941	4
1232866	9084000	13628000	11355986	8
1234882	986	2498	1742	4
1236046	803000	2412000	1607631	4
1247836	7443000	11166000	9304913	5
1263550	3064000	4597000	3830554	18
1276936	1786000	3365000	2575397	10
1280948	1284000	3855000	2569635	5
1284658	818000	2457000	1637940	4
1287055	2415000	3624000	3019251	7
1288410	4487000	6732000	5609701	4
1291540	1333000	2001000	1666795	4
1296538	2814000	4222000	3517549	4
1297617	2579000	3870000	3224506	5
1298633	6532	9798	8165	4
1306993	4564000	6847000	5705771	4
1307800	7640	11000	9550	3
1310165	4649000	6974000	5811278	7
1325107	6900000	10352000	8625957	4
1330491	5630	8654	7142	4
1330520	5913	8870	7392	4
1330521	5893	8840	7367	4
1331258	3625000	5439000	4531698	6
1333651	2018000	3028000	2522665	13
1335613	2635000	3954000	3294868	6
1335626	24000	36000	30119	2
1341643	2398000	7196000	4797290	4
1351752	23052000	49441000	36246897	10
1355477	7284000	10927000	9105828	11
1385984	2370000	3557000	2963564	4
1389713	5708000	8564000	7136091	5
1402861	4119000	6179000	5148918	5
1406512	1526000	2290000	1907804	4
1407499	2582000	3874000	3227860	8
1414603	1629	2444	2037	113
1420917	3666000	5500000	4582649	4
1432052	5405000	9572000	7488295	10
1436886	18408000	55226000	36816836	10
1437360	4546000	13639000	9092036	5
1463165	4425000	6639000	5531702	285
1468449	3301000	4953000	4126885	7
1475143	1402	2103	1753	8
1481663	2894000	5066000	3979875	29
1487726	4982000	7475000	6228572	7
1497681	2798000	4199000	3498471	5
1499685	3240000	4861000	4050101	4
1499973	3674000	5513000	4593561	15
1503054	6158000	9238000	7698221	101
1503055	5506000	8260000	6883104	35
1505723	1315000	1974000	1644230	5
1510841	1607000	2411000	2009090	5
1511761	1655000	2483000	2069029	5
1511783	5532	8299	6916	6
1511871	4216	6324	5270	4
1511891	3775	5662	4719	6
1513188	4809	7214	6012	4
1513251	6128	9192	7660	4
1513256	5841	8762	7302	10
1513257	5713	8570	7142	11
1513258	5792	8689	7241	4
1513260	3631	11000	7262	8
1513263	5460	9124	7292	5
1513264	5790	8685	7238	5
1513276	6224	9336	7780	4
1528099	1354000	2377000	1865470	4
1530123	3185000	4779000	3981760	26
1534743	4493000	6740000	5616484	6
1545044	2851000	4278000	3564877	5
1548713	7121	11000	8902	5
1550024	1878000	5637000	3757614	21
1578165	4002000	6004000	5002934	4
1578720	1265000	1899000	1582109	6
1580596	3382000	5074000	4227715	8
1581557	1046000	1570000	1308308	8
1583098	1948000	2924000	2435836	8
1607738	1999000	3000000	2499478	8
1608996	4268000	7623000	5945441	17
1615674	5049000	7574000	6311640	13
1629404	3523000	5286000	4404866	6
1633631	1495000	2959000	2227092	9
1639133	4005000	6009000	5006890	21
1642515	1584	2377	1981	6
1643429	874000	2624000	1749000	6
1648923	3499000	5249000	4373789	68
1653434	2598000	3899000	3248575	8
1654388	2194000	3292000	2742952	5
1658174	26053000	39080000	32566497	10
1664069	3727000	5592000	4659467	5
1678143	5778	8667	7223	8
1678144	5322	7983	6653	4
1678145	5531	8296	6914	4
1686310	2081000	3123000	2602147	6
1697053	1279000	3411000	2344646	8
1705564	913000	2256000	1584238	8
1708541	7797000	11697000	9747171	26
1708715	5370000	8056000	6712663	6
1714619	7104	11000	8880	5
1735162	998000	1498000	1248026	7
1756149	3503000	5255000	4379078	7
1756150	3373000	5061000	4216720	5
1763883	3737000	5607000	4672321	6
1765683	2479000	3720000	3099510	4
1775910	5083000	7625000	6353930	5
1778540	3983000	5976000	4979223	7
1785128	3132000	4700000	3916158	9
1796646	2291000	4199000	3245430	7
1803956	5877	8816	7347	9
1803957	3747	12000	7495	5
1812935	3993000	5990000	4991645	85
1813019	1199000	1800000	1499457	32
1818881	3587000	5382000	4484736	4
1821750	6464	9697	8081	15
1821960	3409000	5115000	4262236	6
1848903	2114000	3173000	2643718	4
1855823	1727000	2592000	2159278	9
1868221	1156	2844	2000	249
1868870	33628000	62952000	48289900	4
1870820	5582000	8374000	6977711	12
1872678	3813000	5721000	4766895	5
1879050	2932000	5066000	3998902	4
1884905	1060000	1592000	1326005	4
1890302	4462000	6694000	5578004	157
1891097	2056000	3086000	2571019	4
1891763	4130	6195	5163	6
1897087	7028	11000	8786	13
1899430	1168000	1754000	1461089	20
1905730	4017000	6027000	5022017	19
1906581	1703000	2556000	2129274	5
1906744	1994000	2992000	2493311	7
1906745	1537000	2714000	2125567	4
1908198	2757000	4137000	3447376	11
1910969	4388	6583	5486	4
1914203	134000	203000	168395	6
1917441	1667000	2502000	2084323	21
1918720	62000	94000	78272	4
1920765	58000	88000	72671	4
1921408	74000	112000	93180	4
1921432	660	991	826	1
1922217	875000	1314000	1094693	10
1922242	636	954	795	6
1925020	3691000	5538000	4614405	5
1925780	68000	103000	85783	5
1925782	70000	106000	88116	4
1927127	1786000	3671000	2728202	10
1932927	14000	23000	18338	4
1933179	6133	19000	12266	9
1933264	6204	19000	12408	8
1933274	9791	15000	12239	12
1933290	6202	19000	12405	6
1933307	6259	19000	12519	5
1933309	9750	15000	12188	4
1934101	10000	16000	12698	4
1935204	1497000	2270000	1883443	5
1940789	1368000	2709000	2038334	4
1945589	4869	7304	6087	2
1961679	3607	11000	7215	14
1961681	3641	11000	7283	13
1963032	3234000	4852000	4042815	7
1965231	1346000	2020000	1682981	11
1970738	1619000	3369000	2494021	23
1972867	4216000	6325000	5270290	5
1977402	5125	7688	6407	13
1981032	33000	51000	41865	5
1981167	49000	74000	61343	5
1982151	42000	65000	53746	5
1982904	53000	81000	67232	4
1982928	54000	83000	68492	30
1984799	30000	46000	38253	5
1984800	32000	50000	41143	27
1985254	3931000	5898000	4914536	94
1985356	7391	12000	9239	10
1985363	9023	13000	11279	1
1985406	1732	2599	2166	9
1985726	32000	49000	40635	5
1985738	31000	47000	39094	8
1986034	4461	6692	5577	362
1986350	55000	83000	69082	11
1986538	55000	83000	68839	18
1986540	54000	83000	68405	11
2003328	3650	5475	4563	2
2003329	3623	5434	4529	1
2004487	1804	2707	2256	4
2004957	1759	2638	2199	7
2004967	1708	2563	2136	4
2006134	124000	187000	155295	28
2006145	53000	81000	67465	4
2006179	52000	79000	65763	16
2008380	1175000	1910000	1542971	9
2014257	388000	584000	486144	8
2014537	1918000	2878000	2397642	10
2023178	3137000	4706000	3921349	14
2025884	1894000	2842000	2367622	11
2026186	3644000	7350000	5497155	8
2026188	3700000	6902000	5301258	8
2026189	4429000	7360000	5894466	9
2026190	4528000	6793000	5660141	5
2026193	4681000	7023000	5851846	6
2026240	4648000	6973000	5810228	5
2026255	2034000	3052000	2543156	5
2027919	3211000	6543000	4876999	7
2034999	36000	55000	45653	4
2042057	3440000	6213000	4826824	7
2045451	3627000	5442000	4534530	4
2053508	2100000	4547000	3323875	6
2058152	4810000	7216000	6013300	20
2066070	4641000	8419000	6529662	6
2066479	3456000	6116000	4785880	5
2080107	2212	3318	2765	5
2080838	3819000	5729000	4773981	5
2107999	1549000	2389000	1969157	11
2136182	2978000	4468000	3723045	6
2169700	11000	18000	14938	6
2169706	24000	37000	30687	9
2170080	9820	15000	12276	6
2170082	9812	15000	12266	28
2170119	1996	2994	2495	4
2182793	1986000	2981000	2483704	5
2204145	3493000	5240000	4366482	6
2218628	4489000	6735000	5612108	6
2219225	4875000	7313000	6093847	8
2306993	3682000	5524000	4603156	5
2484905	3451000	5177000	4314038	6
2484962	3383000	5076000	4229209	4
2484974	3429000	5145000	4287269	4
2487519	4326000	6491000	5408518	4
2488639	3957000	5937000	4947124	11
2494701	4059000	6090000	5074602	8
2499620	10000	15000	12704	1
2509281	5745	18000	11490	154
2527775	1433000	2151000	1791953	6
2548426	886000	2659000	1772497	14
2588536	1018000	1528000	1272502	29
2594913	1858000	2788000	2323136	5
2663009	1740000	2908000	2324076	11
